	area	perimeter	compactness	length	width	asymmetry coefficient	groove length	category
50	10.93	12.8	0.839	5.046	2.717	5.398	5.045	1
51	11.27	12.86	0.8563	5.091	2.804	3.985	5.001	1
52	11.87	13.02	0.8795	5.132	2.953	3.597	5.132	1
53	10.82	12.83	0.8256	5.18	2.63	4.853	5.089	1
54	12.11	13.27	0.8639	5.236	2.975	4.132	5.012	1
55	12.8	13.47	0.886	5.16	3.126	4.873	4.914	1
56	14.46	14.35	0.8818	5.388	3.377	2.802	5.044	0
57	14.92	14.43	0.9006	5.384	3.412	1.142	5.088	0
58	15.38	14.77	0.8857	5.662	3.419	1.999	5.222	0
59	12.11	13.47	0.8392	5.159	3.032	1.502	4.519	0
60	11.42	12.86	0.8683	5.008	2.85	2.7	4.607	0
61	11.23	12.63	0.884	4.902	2.879	2.269	4.703	0
62	12.36	13.19	0.8923	5.076	3.042	3.22	4.605	0
63	12.19	13.36	0.8579	5.24	2.909	4.857	5.158	1
64	11.65	13.07	0.8575	5.108	2.85	5.209	5.135	1
65	12.89	13.77	0.8541	5.495	3.026	6.185	5.316	1
66	11.56	13.31	0.8198	5.363	2.683	4.062	5.182	1
67	11.81	13.45	0.8198	5.413	2.716	4.898	5.352	1
68	10.91	12.8	0.8372	5.088	2.675	4.179	4.956	1
69	11.23	12.82	0.8594	5.089	2.821	7.524	4.957	1
70	10.59	12.41	0.8648	4.899	2.787	4.975	4.794	1
71	10.93	12.8	0.839	5.046	2.717	5.398	5.045	1
72	11.27	12.86	0.8563	5.091	2.804	3.985	5.001	1
73	11.87	13.02	0.8795	5.132	2.953	3.597	5.132	1
74	10.82	12.83	0.8256	5.18	2.63	4.853	5.089	1
75	12.11	13.27	0.8639	5.236	2.975	4.132	5.012	1
76	12.8	13.47	0.886	5.16	3.126	4.873	4.914	1
77	14.46	14.35	0.8818	5.388	3.377	2.802	5.044	0
78	14.92	14.43	0.9006	5.384	3.412	1.142	5.088	0
79	15.38	14.77	0.8857	5.662	3.419	1.999	5.222	0
80	12.11	13.47	0.8392	5.159	3.032	1.502	4.519	0
81	11.42	12.86	0.8683	5.008	2.85	2.7	4.607	0
82	11.23	12.63	0.884	4.902	2.879	2.269	4.703	0
83	12.36	13.19	0.8923	5.076	3.042	3.22	4.605	0
84	12.19	13.36	0.8579	5.24	2.909	4.857	5.158	1
85	11.65	13.07	0.8575	5.108	2.85	5.209	5.135	1
86	12.89	13.77	0.8541	5.495	3.026	6.185	5.316	1
87	11.56	13.31	0.8198	5.363	2.683	4.062	5.182	1
88	11.81	13.45	0.8198	5.413	2.716	4.898	5.352	1
89	10.91	12.8	0.8372	5.088	2.675	4.179	4.956	1
90	11.23	12.82	0.8594	5.089	2.821	7.524	4.957	1
91	10.59	12.41	0.8648	4.899	2.787	4.975	4.794	1
92	10.93	12.8	0.839	5.046	2.717	5.398	5.045	1
93	11.27	12.86	0.8563	5.091	2.804	3.985	5.001	1
94	11.87	13.02	0.8795	5.132	2.953	3.597	5.132	1
95	10.82	12.83	0.8256	5.18	2.63	4.853	5.089	1
96	12.11	13.27	0.8639	5.236	2.975	4.132	5.012	1
97	12.8	13.47	0.886	5.16	3.126	4.873	4.914	1
98	14.46	14.35	0.8818	5.388	3.377	2.802	5.044	0
99	14.92	14.43	0.9006	5.384	3.412	1.142	5.088	0
100	15.38	14.77	0.8857	5.662	3.419	1.999	5.222	0
101	12.11	13.47	0.8392	5.159	3.032	1.502	4.519	0
102	11.42	12.86	0.8683	5.008	2.85	2.7	4.607	0
103	11.23	12.63	0.884	4.902	2.879	2.269	4.703	0
104	12.36	13.19	0.8923	5.076	3.042	3.22	4.605	0
105	12.19	13.36	0.8579	5.24	2.909	4.857	5.158	1
106	11.65	13.07	0.8575	5.108	2.85	5.209	5.135	1
107	12.89	13.77	0.8541	5.495	3.026	6.185	5.316	1
108	11.56	13.31	0.8198	5.363	2.683	4.062	5.182	1
109	11.81	13.45	0.8198	5.413	2.716	4.898	5.352	1
110	10.91	12.8	0.8372	5.088	2.675	4.179	4.956	1
111	11.23	12.82	0.8594	5.089	2.821	7.524	4.957	1
112	10.59	12.41	0.8648	4.899	2.787	4.975	4.794	1
113	10.93	12.8	0.839	5.046	2.717	5.398	5.045	1
114	11.27	12.86	0.8563	5.091	2.804	3.985	5.001	1
115	11.87	13.02	0.8795	5.132	2.953	3.597	5.132	1
116	10.82	12.83	0.8256	5.18	2.63	4.853	5.089	1
117	12.11	13.27	0.8639	5.236	2.975	4.132	5.012	1
118	12.8	13.47	0.886	5.16	3.126	4.873	4.914	1
119	14.46	14.35	0.8818	5.388	3.377	2.802	5.044	0
120	14.92	14.43	0.9006	5.384	3.412	1.142	5.088	0
121	15.38	14.77	0.8857	5.662	3.419	1.999	5.222	0
122	12.11	13.47	0.8392	5.159	3.032	1.502	4.519	0
123	11.42	12.86	0.8683	5.008	2.85	2.7	4.607	0
124	11.23	12.63	0.884	4.902	2.879	2.269	4.703	0
125	12.36	13.19	0.8923	5.076	3.042	3.22	4.605	0
126	12.19	13.36	0.8579	5.24	2.909	4.857	5.158	1
127	11.65	13.07	0.8575	5.108	2.85	5.209	5.135	1
128	12.89	13.77	0.8541	5.495	3.026	6.185	5.316	1
129	11.56	13.31	0.8198	5.363	2.683	4.062	5.182	1
130	11.81	13.45	0.8198	5.413	2.716	4.898	5.352	1
131	10.91	12.8	0.8372	5.088	2.675	4.179	4.956	1
132	11.23	12.82	0.8594	5.089	2.821	7.524	4.957	1
133	10.59	12.41	0.8648	4.899	2.787	4.975	4.794	1
134	10.93	12.8	0.839	5.046	2.717	5.398	5.045	1
135	11.27	12.86	0.8563	5.091	2.804	3.985	5.001	1
136	11.87	13.02	0.8795	5.132	2.953	3.597	5.132	1
137	10.82	12.83	0.8256	5.18	2.63	4.853	5.089	1
138	12.11	13.27	0.8639	5.236	2.975	4.132	5.012	1
139	12.8	13.47	0.886	5.16	3.126	4.873	4.914	1
140	14.46	14.35	0.8818	5.388	3.377	2.802	5.044	0
141	14.92	14.43	0.9006	5.384	3.412	1.142	5.088	0
142	15.38	14.77	0.8857	5.662	3.419	1.999	5.222	0
143	12.11	13.47	0.8392	5.159	3.032	1.502	4.519	0
144	11.42	12.86	0.8683	5.008	2.85	2.7	4.607	0
145	11.23	12.63	0.884	4.902	2.879	2.269	4.703	0
146	12.36	13.19	0.8923	5.076	3.042	3.22	4.605	0
147	12.19	13.36	0.8579	5.24	2.909	4.857	5.158	1
148	11.65	13.07	0.8575	5.108	2.85	5.209	5.135	1
149	12.89	13.77	0.8541	5.495	3.026	6.185	5.316	1
150	11.56	13.31	0.8198	5.363	2.683	4.062	5.182	1
151	11.81	13.45	0.8198	5.413	2.716	4.898	5.352	1
152	10.91	12.8	0.8372	5.088	2.675	4.179	4.956	1
153	11.23	12.82	0.8594	5.089	2.821	7.524	4.957	1
154	10.59	12.41	0.8648	4.899	2.787	4.975	4.794	1
155	10.93	12.8	0.839	5.046	2.717	5.398	5.045	1
156	11.27	12.86	0.8563	5.091	2.804	3.985	5.001	1
157	11.87	13.02	0.8795	5.132	2.953	3.597	5.132	1
158	10.82	12.83	0.8256	5.18	2.63	4.853	5.089	1
159	12.11	13.27	0.8639	5.236	2.975	4.132	5.012	1
160	12.8	13.47	0.886	5.16	3.126	4.873	4.914	1
161	14.46	14.35	0.8818	5.388	3.377	2.802	5.044	0
162	14.92	14.43	0.9006	5.384	3.412	1.142	5.088	0
163	15.38	14.77	0.8857	5.662	3.419	1.999	5.222	0
164	12.11	13.47	0.8392	5.159	3.032	1.502	4.519	0
165	11.42	12.86	0.8683	5.008	2.85	2.7	4.607	0
166	11.23	12.63	0.884	4.902	2.879	2.269	4.703	0
167	12.36	13.19	0.8923	5.076	3.042	3.22	4.605	0
168	12.19	13.36	0.8579	5.24	2.909	4.857	5.158	1
169	11.65	13.07	0.8575	5.108	2.85	5.209	5.135	1
170	12.89	13.77	0.8541	5.495	3.026	6.185	5.316	1
171	11.56	13.31	0.8198	5.363	2.683	4.062	5.182	1
172	11.81	13.45	0.8198	5.413	2.716	4.898	5.352	1
173	10.91	12.8	0.8372	5.088	2.675	4.179	4.956	1
174	11.23	12.82	0.8594	5.089	2.821	7.524	4.957	1
175	10.59	12.41	0.8648	4.899	2.787	4.975	4.794	1
176	10.93	12.8	0.839	5.046	2.717	5.398	5.045	1
177	11.27	12.86	0.8563	5.091	2.804	3.985	5.001	1
178	11.87	13.02	0.8795	5.132	2.953	3.597	5.132	1
179	10.82	12.83	0.8256	5.18	2.63	4.853	5.089	1
180	12.11	13.27	0.8639	5.236	2.975	4.132	5.012	1
181	12.8	13.47	0.886	5.16	3.126	4.873	4.914	1
182	14.46	14.35	0.8818	5.388	3.377	2.802	5.044	0
183	14.92	14.43	0.9006	5.384	3.412	1.142	5.088	0
184	15.38	14.77	0.8857	5.662	3.419	1.999	5.222	0
185	12.11	13.47	0.8392	5.159	3.032	1.502	4.519	0
186	11.42	12.86	0.8683	5.008	2.85	2.7	4.607	0
187	11.23	12.63	0.884	4.902	2.879	2.269	4.703	0
188	12.36	13.19	0.8923	5.076	3.042	3.22	4.605	0
