	area	perimeter	compactness	length	width	asymmetry coefficient	groove length	category
151	21.18	17.21	0.8989	6.573	4.033	5.78	6.231	1
152	20.88	17.05	0.9031	6.45	4.032	5.016	6.321	1
153	20.1	16.99	0.8746	6.581	3.785	1.955	6.449	1
154	18.76	16.2	0.8984	6.172	3.796	3.12	6.053	1
155	18.81	16.29	0.8906	6.272	3.693	3.237	6.053	1
156	18.59	16.05	0.9066	6.037	3.86	6.001	5.877	1
157	18.36	16.52	0.8452	6.666	3.485	4.933	6.448	1
158	16.87	15.65	0.8648	6.139	3.463	3.696	5.967	1
159	19.31	16.59	0.8815	6.341	3.81	3.477	6.238	1
160	18.98	16.57	0.8687	6.449	3.552	2.144	6.453	1
161	14.11	14.1	0.8911	5.42	3.302	2.7	5.0	0
162	16.63	15.46	0.8747	6.053	3.465	2.04	5.877	0
163	16.44	15.25	0.888	5.884	3.505	1.969	5.533	0
164	15.26	14.85	0.8696	5.714	3.242	4.543	5.314	0
165	14.03	14.16	0.8796	5.438	3.201	1.717	5.001	0
166	13.89	14.02	0.888	5.439	3.199	3.986	4.738	0
167	13.78	14.06	0.8759	5.479	3.156	3.136	4.872	0
168	19.51	16.71	0.878	6.366	3.801	2.962	6.185	1
169	18.27	16.09	0.887	6.173	3.651	2.443	6.197	1
170	18.88	16.26	0.8969	6.084	3.764	1.649	6.109	1
171	18.98	16.66	0.859	6.549	3.67	3.691	6.498	1
172	21.18	17.21	0.8989	6.573	4.033	5.78	6.231	1
173	20.88	17.05	0.9031	6.45	4.032	5.016	6.321	1
174	20.1	16.99	0.8746	6.581	3.785	1.955	6.449	1
175	18.76	16.2	0.8984	6.172	3.796	3.12	6.053	1
176	18.81	16.29	0.8906	6.272	3.693	3.237	6.053	1
177	18.59	16.05	0.9066	6.037	3.86	6.001	5.877	1
178	18.36	16.52	0.8452	6.666	3.485	4.933	6.448	1
179	16.87	15.65	0.8648	6.139	3.463	3.696	5.967	1
180	19.31	16.59	0.8815	6.341	3.81	3.477	6.238	1
181	18.98	16.57	0.8687	6.449	3.552	2.144	6.453	1
182	14.11	14.1	0.8911	5.42	3.302	2.7	5.0	0
183	16.63	15.46	0.8747	6.053	3.465	2.04	5.877	0
184	16.44	15.25	0.888	5.884	3.505	1.969	5.533	0
185	15.26	14.85	0.8696	5.714	3.242	4.543	5.314	0
186	14.03	14.16	0.8796	5.438	3.201	1.717	5.001	0
187	13.89	14.02	0.888	5.439	3.199	3.986	4.738	0
188	13.78	14.06	0.8759	5.479	3.156	3.136	4.872	0
