	area	perimeter	compactness	length	width	asymmetry coefficient	groove length	category
163	14.29	14.09	0.905	5.291	3.337	2.699	4.825	0
164	13.84	13.94	0.8955	5.324	3.379	2.259	4.805	0
165	16.14	14.99	0.9034	5.658	3.562	1.355	5.175	0
166	14.38	14.21	0.8951	5.386	3.312	2.462	4.956	0
167	14.69	14.49	0.8799	5.563	3.259	3.586	5.219	0
168	17.63	15.98	0.8673	6.191	3.561	4.076	6.06	1
169	16.84	15.67	0.8623	5.998	3.484	4.675	5.877	1
170	17.26	15.73	0.8763	5.978	3.594	4.539	5.791	1
171	19.11	16.26	0.9081	6.154	3.93	2.936	6.079	1
172	16.82	15.51	0.8786	6.017	3.486	4.004	5.841	1
173	16.77	15.62	0.8638	5.927	3.438	4.92	5.795	1
174	17.32	15.91	0.8599	6.064	3.403	3.824	5.922	1
175	20.71	17.23	0.8763	6.579	3.814	4.451	6.451	1
176	18.94	16.49	0.875	6.445	3.639	5.064	6.362	1
177	17.12	15.55	0.8892	5.85	3.566	2.858	5.746	1
178	16.53	15.34	0.8823	5.875	3.467	5.532	5.88	1
179	18.72	16.19	0.8977	6.006	3.857	5.324	5.879	1
180	20.2	16.89	0.8894	6.285	3.864	5.173	6.187	1
181	19.57	16.74	0.8779	6.384	3.772	1.472	6.273	1
182	15.26	14.84	0.871	5.763	3.312	2.221	5.22	0
183	14.88	14.57	0.8811	5.554	3.333	1.018	4.956	0
184	14.29	14.09	0.905	5.291	3.337	2.699	4.825	0
185	13.84	13.94	0.8955	5.324	3.379	2.259	4.805	0
186	16.14	14.99	0.9034	5.658	3.562	1.355	5.175	0
187	14.38	14.21	0.8951	5.386	3.312	2.462	4.956	0
188	14.69	14.49	0.8799	5.563	3.259	3.586	5.219	0
