	a1	a2	a3	a4	a5	a6	Label
68	25	37	48	43	26	36	0
69	35	48	48	56	4	48	0
70	26	26	48	34	25	35	0
71	44	51	48	47	26	36	0
72	37	5	48	42	36	45	0
73	44	42	48	42	25	2	0
74	24	43	48	37	28	38	0
75	42	3	48	48	26	36	0
76	48	42	48	45	25	35	0
77	41	48	48	51	44	51	0
78	44	28	48	43	27	37	0
79	29	41	48	48	38	46	0
80	34	28	48	41	35	44	0
81	41	43	48	45	31	41	0
82	29	47	48	41	23	34	0
83	34	55	48	58	31	41	0
84	36	56	48	43	45	53	0
85	4	46	48	52	49	56	0
86	5	49	48	49	46	53	0
87	52	44	48	37	36	42	0
88	5	51	48	27	23	34	0
89	53	42	48	16	29	39	0
90	34	46	48	52	35	44	0
91	4	42	48	37	27	27	0
92	41	43	48	5	24	25	0
93	3	45	48	36	21	32	0
94	31	47	48	29	28	39	0
95	64	76	48	45	35	38	0
96	35	37	48	3	34	43	0
97	57	54	48	37	28	33	0
98	65	55	48	34	37	28	0
99	51	46	48	58	31	41	0
100	38	4	48	63	25	35	0
101	24	57	48	63	34	43	0
102	38	26	48	54	16	28	0
103	33	47	48	53	18	29	0
104	24	34	48	38	3	4	0
105	26	5	48	44	32	41	0
106	44	49	48	39	38	4	0
107	43	32	48	33	45	52	0
108	49	43	48	49	3	4	0
109	47	28	48	56	2	25	0
110	32	33	48	6	6	2	0
111	34	35	48	51	49	56	0
112	35	34	48	46	3	27	0
113	38	3	48	43	29	39	0
114	38	44	48	43	2	31	0
115	41	51	48	58	2	31	0
116	34	42	48	41	34	43	0
117	51	49	48	53	14	26	0
118	25	51	48	37	42	5	0
119	29	28	48	5	42	5	0
120	25	26	48	39	32	42	0
121	24	41	48	49	23	34	0
122	17	39	48	53	3	39	0
123	4	31	48	41	29	39	0
124	61	36	48	49	35	44	0
125	34	51	48	44	37	46	0
126	28	33	48	45	22	33	0
127	4	46	48	42	35	44	0
128	23	34	48	43	26	37	0
129	37	44	48	42	39	47	0
130	0	38	48	42	48	55	0
131	39	31	48	38	34	43	0
132	3	44	48	49	22	33	0
133	27	3	48	71	28	39	0
134	17	52	48	49	37	46	0
135	36	42	48	53	32	41	0
136	3	37	48	43	18	3	0
137	26	4	48	36	26	37	0
138	4	41	48	55	22	33	0
139	22	34	48	42	29	39	0
140	44	35	48	44	52	59	0
141	27	42	48	37	38	43	0
142	16	43	48	54	27	37	0
143	6	61	48	49	92	37	0
144	44	52	48	43	47	54	0
145	63	47	48	51	82	84	0
146	23	48	48	59	88	89	0
147	34	49	48	58	85	8	0
148	43	4	48	58	75	78	0
149	46	61	48	48	86	87	0
150	27	35	48	51	77	79	0
151	52	39	48	65	71	73	0
152	29	47	48	71	65	69	0
153	55	47	48	57	78	8	0
154	12	67	48	74	58	63	0
155	4	5	48	65	82	84	0
156	73	36	48	53	91	92	0
157	84	44	48	48	71	74	0
158	48	45	48	6	78	8	0
159	54	49	48	4	87	88	0
160	48	41	48	51	9	88	0
161	5	66	48	31	92	92	0
162	72	46	48	51	66	7	0
163	47	55	48	58	71	75	0
164	33	56	48	33	78	8	0
165	64	58	48	48	78	73	0
166	54	57	48	56	81	83	0
167	47	59	48	52	76	79	0
168	63	5	48	59	85	86	0
169	49	42	48	53	79	81	0
170	31	5	48	57	84	85	0
171	74	44	48	55	88	89	0
172	33	45	48	45	88	89	0
173	45	4	48	61	74	77	0
174	71	4	48	71	7	74	0
175	5	37	48	66	64	69	0
176	66	53	48	59	66	66	0
177	6	61	48	54	67	71	0
178	83	37	48	61	71	74	0
179	34	51	48	67	9	9	0
180	63	54	48	65	79	81	0
181	7	4	48	56	86	83	0
182	6	5	1	54	77	8	0
183	16	51	48	33	39	48	0
184	74	7	48	66	65	69	0
185	2	46	48	57	78	81	0
186	89	55	48	51	72	76	0
187	7	46	48	56	78	73	0
188	12	43	48	63	7	74	0
189	61	52	48	54	67	52	0
190	33	37	48	46	65	69	0
191	63	65	48	66	67	71	0
192	41	51	48	53	75	78	0
193	34	67	48	52	76	79	0
194	58	34	48	56	87	81	0
195	59	56	48	55	8	82	0
196	51	4	48	57	62	67	0
197	5	57	48	71	61	66	0
198	6	46	48	45	81	83	0
199	37	47	48	39	76	79	0
200	71	71	48	4	54	39	0
201	66	74	48	31	38	43	0
202	67	81	48	25	42	25	0
203	64	72	48	49	42	19	0
204	68	82	48	38	65	56	0
205	32	39	48	53	28	38	0
206	7	64	48	47	51	47	0
207	63	57	48	49	7	2	0
208	74	82	48	49	49	41	0
209	63	86	48	39	47	34	0
210	63	83	48	4	39	19	0
211	63	71	48	6	4	39	0
212	71	86	48	4	54	32	0
213	68	78	48	43	44	42	0
214	64	84	48	37	45	4	0
215	74	47	48	5	57	42	0
216	75	84	48	35	52	33	0
217	63	65	48	39	44	35	0
218	69	67	48	3	39	24	0
219	7	71	48	42	84	85	0
220	69	8	48	46	57	26	0
221	64	66	48	41	39	2	0
222	63	8	48	46	31	29	0
223	66	71	48	41	5	35	0
224	69	59	48	46	44	52	0
225	68	67	48	49	4	34	0
226	64	78	48	5	36	38	0
227	62	78	48	47	49	54	0
228	76	73	48	44	39	39	0
229	64	81	48	37	39	44	0
230	29	39	48	52	4	48	0
231	62	83	48	46	36	4	0
232	56	54	48	43	37	3	0
233	69	66	48	41	5	25	0
234	69	65	48	63	48	41	0
235	43	59	48	52	49	56	0
236	74	56	48	47	68	3	0
237	71	57	48	48	35	32	0
238	61	6	48	44	39	38	0
239	59	61	48	42	42	37	0
240	74	74	48	31	53	52	0
241	78	68	48	83	4	29	1
242	63	69	48	65	41	28	1
243	67	88	48	73	5	25	1
244	61	75	48	51	33	33	1
245	67	84	48	74	54	37	1
246	74	9	48	57	53	29	1
247	73	84	48	86	58	29	1
248	75	76	48	83	57	3	1
249	77	57	48	88	53	2	1
250	74	78	48	75	54	15	1
251	68	76	48	84	45	27	1
252	56	68	48	77	36	45	1
253	65	51	48	66	54	33	1
254	52	81	48	72	38	38	1
255	64	57	48	7	33	26	1
256	6	76	1	77	59	52	1
257	69	59	48	77	39	21	1
258	63	49	48	79	45	28	1
259	71	71	48	68	43	36	1
260	68	63	48	73	4	3	1
261	77	57	1	37	54	1	1
262	66	49	1	54	56	36	1
263	71	46	1	52	59	3	1
264	67	55	1	66	58	16	1
265	68	49	1	62	55	28	1
