	a1	a2	a3	a4	a5	a6	a7	Label
118	76	71	48	5	5	71	75	0
119	84	49	48	5	55	78	74	0
120	77	55	48	5	51	78	74	0
121	81	44	48	5	42	67	68	0
122	58	6	48	5	59	73	76	0
123	63	42	48	5	48	77	8	0
124	62	42	48	5	58	79	81	0
125	86	39	48	5	59	89	9	0
126	81	53	48	5	57	87	88	0
127	87	49	48	5	61	76	79	0
128	47	46	48	5	62	74	77	0
129	76	41	48	5	5	59	62	0
130	7	53	48	5	7	86	87	0
131	64	45	48	5	67	61	66	0
132	81	52	48	5	57	78	8	0
133	73	26	48	5	57	75	78	0
134	49	61	1	5	56	71	74	0
135	88	42	48	5	52	73	75	0
136	84	54	48	5	75	92	7	0
137	63	51	48	5	64	72	76	0
138	86	55	48	5	63	81	83	0
139	79	54	48	5	5	66	68	0
140	57	38	48	5	6	49	33	0
141	78	44	48	5	45	73	68	0
142	78	68	48	5	83	4	29	1
143	63	69	48	5	65	41	28	1
144	67	88	48	5	73	5	25	1
145	61	75	48	5	51	33	33	1
146	67	84	48	5	74	54	37	1
147	74	9	48	5	57	53	29	1
148	73	84	48	5	86	58	29	1
149	75	76	48	5	83	57	3	1
150	77	57	48	5	88	53	2	1
151	74	78	48	5	75	54	15	1
152	68	76	48	5	84	45	27	1
153	56	68	48	5	77	36	45	1
154	65	51	48	5	66	54	33	1
155	52	81	48	5	72	38	38	1
156	64	57	48	5	7	33	26	1
157	6	76	1	5	77	59	52	1
158	69	59	48	5	77	39	21	1
159	63	49	48	5	79	45	28	1
160	71	71	48	5	68	43	36	1
161	68	63	48	5	73	4	3	1
